# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
18800 0.000188 221.231 217.461
18900 0.000189 221.15 216.816
19000 0.00019 221.059 217.225
19100 0.000191 220.981 218.427
19200 0.000192 221.662 216.632
19300 0.000193 220.963 217.99
19400 0.000194 221.19 217.551
19500 0.000195 221.078 216.955
19600 0.000196 220.873 217.337
19700 0.000197 220.269 218.161
19800 0.000198 220.459 217.201
19900 0.000199 221.015 217.449
20000 0.0002 220.44 217.626
