b,Etr,Er1,Er2,Etrp,Er1p,Er2p
1.34226440921422,2123.79256693116,1512.48012934503,1686.67031414774,2123.84320470687,1514.33609355067,1684.70213758127
1.01126191310073,2814.25851196528,1722.18561016176,2528.47570784146,2807.51913428911,1725.93990460891,2531.39355602354
1.32419608213489,5083.82793842924,2784.76840522356,1687.90126126332,5085.03816259745,2784.8591534118,1686.53551987119
0.375845595656774,1763.90807122722,370.633930243313,2004.43238001719,2430.32458876262,504.446217191228,1204.28259156271
0.413751877061824,4302.80995877112,2988.25444304705,901.338867099309,7007.587053732,563.184841479894,621.740522319668
0.589774952127078,3820.35317063489,2039.88156585708,390.100585774479,3328.38705919003,2274.48076524855,647.416890290862
1.13890896092205,3833.43918952708,701.682234739238,866.176017609204,3758.50625964866,772.266989820234,870.440650096508
1.19491891183113,366.358009805532,944.493335988372,706.522024650432,339.215081509578,1043.01124131549,635.071374768477
0.940051479824419,3978.42200343393,1722.32405284851,601.075030113055,4286.20245663372,1291.84889488837,723.817296138504
1.10343866479175,1634.17973880447,1435.85518525618,2614.12478505742,1646.00619025985,1378.40017370969,2659.69203104582
0.819171400791425,5153.87703674794,1381.49613122326,457.997819924078,4537.43422314623,1847.9841165194,607.83646660428
0.319565696027277,429.850860669692,2329.63213333353,2090.43045477439,416.824689436753,2252.60895518137,2180.44021098536
0.0209387778783472,1506.72365671101,1145.0998008882,2721.3689008598,871.272092620607,1953.18266832547,2548.78400392343
1.08617923102732,1224.99992581407,2870.43110509328,2704.40108859305,1225.9837721159,2926.51595063291,2647.29459485866
1.10674843851945,1543.33708597956,2723.43560286347,2526.69743295167,1549.53597649638,2729.43977789062,2514.45611773225
0.570626238137628,1832.19013733244,2773.6394412154,580.403651886307,2743.48485188837,1629.9409273525,812.809364361836
0.884374158282368,5365.82380530596,2445.56545887209,1665.38330894774,5091.26469715702,2688.26735865129,1697.13197019795
0.919949963225553,4399.68268726731,1538.91654102632,2878.0058072226,4965.12883094174,1440.34562699859,2411.36934782282
0.358109046812789,900.169885578554,2578.07838668955,2743.43482949719,609.919443493809,2857.9605591155,2753.75715052781
0.421653781046331,3404.47950433129,2616.59734368778,2536.9098133073,3198.73579298907,218.175014069541,5140.27676936166
0.0898509700359307,4444.07299364342,681.151833763453,1398.83840801561,4411.41303143241,1053.38465206256,1059.20376907576
0.0941908909482804,2745.46431955027,297.777382657938,1105.49446865414,1885.6386642304,477.026722048061,1785.94986583631
1.33118345581872,1154.98009619918,479.803751859205,293.536645769782,1150.86809238583,474.888876064091,302.50034038853
0.343257511540316,1358.67380967904,2294.34614518505,1188.43065081799,1306.26448848327,2292.96041915071,1242.10369358893
0.175525928657862,1471.73217702047,391.129204576829,2225.47231113069,677.962712177115,989.976609860548,2420.39290333887
1.34645683153572,1908.92233607744,2173.18037051392,1220.11024432547,1908.33452779716,2175.00870706193,1218.80707107531
1.02407937227041,381.056879112253,1426.515444485,2781.04234089055,438.187245991365,1691.4103269413,2459.08651405497
0.458301190804303,5150.98035862702,2160.96719387361,2563.85479014996,5742.27222154497,1498.87321695962,2634.65465381116
0.607564327996356,2813.56318559397,755.055807300924,1743.43419130184,2060.20596730458,992.974786394653,2258.80549065193
0.521090145315611,5038.08164477803,1045.28666981015,124.58077116139,3156.52231841872,2851.91235071587,199.644082380056
0.851485160173759,5048.50423854926,2321.88345053151,938.162934623386,4093.57388553163,2339.99866349357,1874.68258339539
0.638300611827177,3994.86342134772,1875.30088343951,1800.36653847427,4125.54200171751,3199.76181175178,344.514248409091
0.660867747591004,1445.94670524699,296.717026516071,381.347227797802,947.435407737476,558.600259239138,617.901841131865
0.176339091675503,1524.99405734556,454.213725590691,178.481700036603,811.667853650335,265.91944959371,1080.11179987826
0.728142127790362,799.24385398366,1245.83312535898,2747.52310623976,853.017897417696,1248.73647596179,2690.8225402078
0.221590133303514,3533.44442332831,1888.59245538026,552.908179916838,3185.97785554398,2231.86717215737,556.999217651654
0.179591625357309,5390.03822946898,1995.59557718717,982.41708444889,3800.93259920167,1596.04444701037,2971.48394557798
