# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
148 1.48e-10 2584.74 1579.54
149 1.49e-10 2582.87 1580.99
150 1.5e-10 2581.16 1582.92
151 1.51e-10 2578.08 1586.35
152 1.52e-10 2577.04 1592.14
153 1.53e-10 2574.71 1593.08
154 1.54e-10 2575.36 1592.46
155 1.55e-10 2574.09 1593.31
156 1.56e-10 2571.17 1596.16
157 1.57e-10 2568.47 1599.58
158 1.58e-10 2567.46 1601.42
159 1.59e-10 2570.68 1599.88
160 1.6e-10 2568.65 1605.09
161 1.61e-10 2563.23 1607.07
162 1.62e-10 2562.35 1610.31
163 1.63e-10 2562.65 1612.89
164 1.64e-10 2559.93 1614.26
165 1.65e-10 2560.91 1617.86
166 1.66e-10 2557.09 1620.81
167 1.67e-10 2556.46 1621.9
168 1.68e-10 2554.16 1625.08
169 1.69e-10 2553.75 1625.45
170 1.7e-10 2552.12 1625.91
171 1.71e-10 2552.04 1628.08
172 1.72e-10 2550.41 1629.42
173 1.73e-10 2548.47 1628.42
174 1.74e-10 2547.74 1634.26
175 1.75e-10 2543.88 1636.54
176 1.76e-10 2541.74 1639.58
177 1.77e-10 2539.98 1643.19
178 1.78e-10 2538.08 1646.05
179 1.79e-10 2537.15 1650.48
180 1.8e-10 2533.82 1651.6
181 1.81e-10 2531.38 1654.25
182 1.82e-10 2529.97 1654.98
183 1.83e-10 2528.51 1658.99
184 1.84e-10 2527.66 1663.39
185 1.85e-10 2526.36 1664.05
186 1.86e-10 2525.76 1664.44
187 1.87e-10 2522.21 1671.55
188 1.88e-10 2519.99 1674.85
189 1.89e-10 2518.27 1678.03
190 1.9e-10 2517.76 1678.04
191 1.91e-10 2517.33 1681.97
192 1.92e-10 2514.84 1682.26
193 1.93e-10 2513.42 1684.42
194 1.94e-10 2512.04 1685.63
195 1.95e-10 2510.08 1688.94
196 1.96e-10 2510.82 1689.53
197 1.97e-10 2508.52 1690.84
198 1.98e-10 2508.94 1692.71
199 1.99e-10 2507.93 1696.1
200 2e-10 2507.28 1695.82
201 2.01e-10 2506.98 1697.84
202 2.02e-10 2503.97 1701.12
203 2.03e-10 2504.73 1701.35
204 2.04e-10 2502.28 1702.83
205 2.05e-10 2501.33 1704.19
206 2.06e-10 2499.4 1706.42
207 2.07e-10 2499.69 1706.92
208 2.08e-10 2499.06 1705.65
209 2.09e-10 2499.5 1706.92
210 2.1e-10 2498.53 1710.7
211 2.11e-10 2494.42 1713.54
212 2.12e-10 2494.19 1715.84
213 2.13e-10 2490.69 1718.88
214 2.14e-10 2490.92 1720.17
215 2.15e-10 2490.07 1722.36
216 2.16e-10 2490.97 1724.76
217 2.17e-10 2489.55 1724.63
218 2.18e-10 2489.91 1725.7
219 2.19e-10 2488.09 1726.05
220 2.2e-10 2486.23 1726.98
221 2.21e-10 2486.1 1727.65
222 2.22e-10 2485.05 1731.04
223 2.23e-10 2482.83 1734.08
224 2.24e-10 2479.85 1732.2
225 2.25e-10 2480.49 1735.01
226 2.26e-10 2476.34 1739.53
227 2.27e-10 2477.04 1741.85
228 2.28e-10 2474.44 1745.41
229 2.29e-10 2472.51 1746.33
230 2.3e-10 2470.51 1747.68
231 2.31e-10 2468.73 1748.26
232 2.32e-10 2470.7 1747.69
233 2.33e-10 2470.34 1749.82
234 2.34e-10 2469.01 1752.38
235 2.35e-10 2467.36 1751.51
236 2.36e-10 2469.38 1752.23
237 2.37e-10 2468.35 1754.84
238 2.38e-10 2466.06 1757.17
239 2.39e-10 2462.45 1759.2
240 2.4e-10 2461.73 1760.68
241 2.41e-10 2463.44 1762.27
242 2.42e-10 2460.07 1763.43
243 2.43e-10 2459.62 1765.45
244 2.44e-10 2458.75 1767.13
245 2.45e-10 2456.8 1767.55
246 2.46e-10 2457.39 1768.26
247 2.47e-10 2454.45 1772.44
248 2.48e-10 2452.31 1776.51
249 2.49e-10 2452.16 1776.5
250 2.5e-10 2452.5 1778.16
251 2.51e-10 2448.38 1779.84
252 2.52e-10 2449.9 1782.31
253 2.53e-10 2448.31 1787.03
254 2.54e-10 2445.83 1786.77
255 2.55e-10 2444.38 1787.33
256 2.56e-10 2443.98 1786.83
257 2.57e-10 2444.1 1787.53
258 2.58e-10 2443.17 1787.75
259 2.59e-10 2443 1789.81
260 2.6e-10 2439.34 1795.47
261 2.61e-10 2438.36 1794.44
262 2.62e-10 2437.12 1795.2
263 2.63e-10 2438.44 1795.15
264 2.64e-10 2439.02 1796.23
265 2.65e-10 2438.34 1799.48
266 2.66e-10 2436.91 1800.2
267 2.67e-10 2434.98 1803.94
268 2.68e-10 2436.8 1804.51
269 2.69e-10 2435.1 1807.2
270 2.7e-10 2432.71 1807.63
271 2.71e-10 2430.81 1809.14
272 2.72e-10 2429.83 1809.39
273 2.73e-10 2431.91 1809.64
274 2.74e-10 2430.48 1811.83
275 2.75e-10 2430.35 1810.56
276 2.76e-10 2429.15 1812.19
277 2.77e-10 2429.9 1811.17
278 2.78e-10 2427.92 1814.42
279 2.79e-10 2427.37 1816.03
280 2.8e-10 2426.3 1815.99
281 2.81e-10 2425.33 1816.18
282 2.82e-10 2426.96 1819.08
283 2.83e-10 2426.96 1818.49
284 2.84e-10 2424.25 1819.23
285 2.85e-10 2424.7 1821.62
286 2.86e-10 2420.57 1823.98
287 2.87e-10 2419.2 1824.72
288 2.88e-10 2420.55 1824.95
289 2.89e-10 2420.32 1827.69
290 2.9e-10 2418.56 1828.72
291 2.91e-10 2414.4 1831.25
292 2.92e-10 2415.5 1833.58
293 2.93e-10 2414.21 1832.94
294 2.94e-10 2413.05 1835.47
295 2.95e-10 2412.28 1837.28
296 2.96e-10 2411.35 1839.86
297 2.97e-10 2409.35 1843.21
298 2.98e-10 2408.18 1844.68
299 2.99e-10 2407.16 1844.64
300 3e-10 2407.39 1847.21
301 3.01e-10 2404.73 1845.86
302 3.02e-10 2402.13 1850.05
303 3.03e-10 2401.73 1853.11
304 3.04e-10 2403.55 1854.51
305 3.05e-10 2403.37 1853.89
306 3.06e-10 2402.1 1855.55
307 3.07e-10 2400.67 1856.03
308 3.08e-10 2400.19 1854.82
309 3.09e-10 2399.58 1855.7
310 3.1e-10 2400.01 1858.2
311 3.11e-10 2398.3 1861.72
312 3.12e-10 2395.47 1861.67
313 3.13e-10 2393.84 1863.78
314 3.14e-10 2394.55 1866.99
315 3.15e-10 2392.58 1866.49
316 3.16e-10 2389.74 1869.23
317 3.17e-10 2390.91 1869.68
318 3.18e-10 2391.91 1870.52
319 3.19e-10 2390.2 1870.78
320 3.2e-10 2388.48 1871.63
321 3.21e-10 2386.32 1874.94
322 3.22e-10 2386.04 1876.91
323 3.23e-10 2386.75 1875.75
324 3.24e-10 2385.07 1877.61
325 3.25e-10 2384.93 1878.32
326 3.26e-10 2383.81 1880.56
327 3.27e-10 2383.02 1882.04
328 3.28e-10 2382.33 1881.7
329 3.29e-10 2381.43 1882.56
330 3.3e-10 2379.37 1885.82
331 3.31e-10 2377.96 1885.84
332 3.32e-10 2377.64 1884.68
333 3.33e-10 2375.91 1888.06
334 3.34e-10 2375.67 1893.51
335 3.35e-10 2374.46 1893.83
336 3.36e-10 2373.19 1894.05
337 3.37e-10 2371.55 1895.42
338 3.38e-10 2370.56 1897.32
339 3.39e-10 2368.3 1902.37
340 3.4e-10 2368.34 1901.38
341 3.41e-10 2367.26 1900.71
342 3.42e-10 2370.56 1897.04
343 3.43e-10 2370.41 1898.4
344 3.44e-10 2370.86 1900.1
345 3.45e-10 2370.84 1902.13
346 3.46e-10 2368.34 1902.46
