timestep simtime Ttrans Trot
1290 1.2900000000000001578e-12 3005.2980034906800029 1017.3308861065933115
1300 1.3000000000000001152e-12 3005.2824005566899359 1017.1642445410078608
1310 1.3100000000000000726e-12 3005.2736629173800793 1017.1486948338995262
1320 1.32000000000000003e-12 3005.2658411916399928 1017.2470662691574717
1330 1.3300000000000001893e-12 3005.1629410007899423 1017.1535904519350879
1340 1.3400000000000001467e-12 3005.2511587002900342 1017.1899771061952151
1350 1.3500000000000001041e-12 3004.9737692569501633 1017.1236843966572678
1360 1.3600000000000000615e-12 3005.5333779169800437 1016.9812487639402434
1370 1.3700000000000000189e-12 3005.2400326621300337 1017.3745005259951313
1380 1.3800000000000001782e-12 3005.2826983903200926 1017.255557936274954
1390 1.3900000000000001356e-12 3005.1441172667000501 1017.2617512428582813
1400 1.400000000000000093e-12 3005.2744253890500659 1017.396746035148567
1410 1.4100000000000000504e-12 3004.755330059500011 1017.6378054432194631
1420 1.4200000000000002097e-12 3004.9452139075001469 1017.9266143233606954
1430 1.4300000000000001671e-12 3005.0787232870397929 1017.8622256787429023
1440 1.4400000000000001245e-12 3004.8798084388299685 1018.0182781726773555
1450 1.4500000000000000819e-12 3004.5352710492297774 1017.9544494944848338
1460 1.4600000000000000393e-12 3004.8632795487501426 1018.0152552829855495
1470 1.4700000000000001986e-12 3004.93127369351987 1018.069252618876817
1480 1.480000000000000156e-12 3004.7759831532198405 1018.2501029997845308
1490 1.4900000000000001134e-12 3004.5837695833001817 1018.1728589695084111
1500 1.5000000000000000708e-12 3004.8061479001898988 1018.1325090210669941
1510 1.5100000000000000282e-12 3004.7880235614397861 1018.1580922831494718
1520 1.5200000000000001875e-12 3004.5316682964798929 1018.1857284966504267
1530 1.5300000000000001449e-12 3004.3271178749000683 1018.0342208106048929
1540 1.5400000000000001023e-12 3004.5550485824201132 1018.4325989384830109
1550 1.5500000000000000597e-12 3004.4215386448099707 1018.5177169259712855
1560 1.560000000000000219e-12 3004.4144260797102106 1018.5997787815030051
1570 1.5700000000000001764e-12 3004.1631859323201752 1018.6837816016638953
1580 1.5800000000000001338e-12 3004.4148210001299049 1018.7423222521643993
1590 1.5900000000000000912e-12 3004.2588421860300514 1018.8355294392196129
1600 1.6000000000000000486e-12 3003.7810809330098891 1019.2205766693627993
1610 1.6100000000000002079e-12 3003.4364570626898967 1019.4592692686827604
1620 1.6200000000000001653e-12 3003.6388197634300923 1019.5715977431808597
1630 1.6300000000000001227e-12 3003.5154763114601337 1019.7789566995930954
1640 1.6400000000000000801e-12 3003.6271706374300265 1019.6020069109996484
1650 1.6500000000000000375e-12 3003.6171492522098561 1019.7130199766436363
1660 1.6600000000000001968e-12 3003.6938240163599403 1019.8173654569811788
1670 1.6700000000000001542e-12 3003.5946700373201566 1019.7113017438443876
1680 1.6800000000000001116e-12 3003.0939093553502062 1019.8974179798240129
1690 1.690000000000000069e-12 3002.9534313992999159 1020.3864703837554089
1700 1.7000000000000002283e-12 3003.1620336276500893 1020.3897815247256631
1710 1.7100000000000001857e-12 3003.016611059079878 1020.6669020217448178
1720 1.7200000000000001431e-12 3003.0766836119701111 1020.729393043559071
1730 1.7300000000000001005e-12 3002.4743699401001322 1021.1655167316828283
1740 1.7400000000000000579e-12 3001.9925910988799842 1021.5956512799521079
1750 1.7500000000000002172e-12 3002.6401467037799193 1021.4219338921864164
1760 1.7600000000000001746e-12 3002.5252233398400676 1021.4664997823045951
1770 1.770000000000000132e-12 3002.4098362732997884 1021.6727859824200095
1780 1.7800000000000000894e-12 3002.3439331801801018 1021.6112427805144307
1790 1.7900000000000000468e-12 3001.951151039349952 1022.2137429592223725
1800 1.8000000000000002061e-12 3001.7270131445798143 1022.494922995138154
1810 1.8100000000000001635e-12 3001.6617585042099563 1022.7468518720620523
1820 1.8200000000000003229e-12 3001.6991134035201867 1022.7900793639826134
1830 1.8300000000000000783e-12 3001.4824145964798845 1022.9259431069546054
1840 1.8400000000000002376e-12 3001.3122662556402247 1023.1488265646178206
1850 1.8499999999999999931e-12 3001.1809045233399047 1023.2090064527526465
1860 1.8600000000000001524e-12 3001.0883190072599973 1023.4977995076794741
1870 1.8700000000000003118e-12 3001.0298708790101045 1023.5476354382918771
1880 1.8800000000000000672e-12 3001.0049416266101616 1023.544514615547655
1890 1.8900000000000002265e-12 3000.881168180540044 1023.7288557170678587
1900 1.899999999999999982e-12 3000.9433723968300001 1023.8928925823780673
1910 1.9100000000000001413e-12 3000.8996450854801878 1023.8940607315701072
1920 1.9200000000000003007e-12 3000.6700657050400878 1024.0590254999908666
1930 1.9300000000000000561e-12 3000.5849573015198075 1024.1999481113018646
1940 1.9400000000000002154e-12 3000.376892667390166 1024.3346733879980093
